time, log, target_temp, R, Y, B
2021-07-07 21:24:00, 1, 25, 254, 254, 254
2021-07-07 21:24:15, 1, 25, 250, 250, 250
2021-07-07 21:24:30, 1, 25, 200, 200, 200
2021-07-07 21:24:45, 1, 25, 150, 150, 150
2021-07-07 21:25:00, 1, 25, 100, 100, 100
2021-07-07 21:25:15, 1, 25, 50, 50, 50
2021-07-07 21:25:30, 1, 25, 0, 0, 0
2021-07-07 21:25:45, 1, 25, 50, 0, 0
2021-07-07 21:26:00, 1, 25, 100, 0, 0
2021-07-07 21:26:15, 1, 25, 150, 0, 0
2021-07-07 21:26:30, 1, 25, 200, 0, 0
2021-07-07 21:26:45, 1, 25, 250, 0, 0
2021-07-07 21:27:00, 1, 25, 254, 0, 0
2021-07-07 21:27:15, 1, 25, 0, 50, 0
2021-07-07 21:27:30, 1, 25, 0, 100, 0
2021-07-07 21:27:45, 1, 25, 0, 150, 0
2021-07-07 21:28:00, 1, 25, 0, 200, 0
2021-07-07 21:28:15, 1, 25, 0, 250, 0
2021-07-07 21:28:30, 1, 25, 0, 254, 0
2021-07-07 21:28:45, 1, 25, 0, 0, 50
2021-07-07 21:29:00, 1, 25, 0, 0, 100
2021-07-07 21:29:15, 1, 25, 0, 0, 150
2021-07-07 21:29:30, 1, 25, 0, 0, 200
2021-07-07 21:29:45, 1, 25, 0, 0, 250
2021-07-07 21:30:00, 1, 25, 0, 0, 254
2021-07-07 21:30:15, 1, 25, 254, 254, 254
2021-07-07 21:30:30, 1, 25, 250, 250, 250
2021-07-07 21:30:45, 1, 25, 200, 200, 200
2021-07-07 21:31:00, 1, 25, 150, 150, 150
2021-07-07 21:31:15, 1, 25, 100, 100, 100
2021-07-07 21:31:30, 1, 25, 50, 50, 50
2021-07-07 21:31:45, 1, 25, 0, 0, 0
